wl,Ag_n,PDMS_n
0.400000,0.058170,1.414910
0.410000,0.056470,1.414030
0.420000,0.055150,1.413000
0.430000,0.054110,1.411790
0.440000,0.053320,1.411130
0.450000,0.052710,1.410330
0.460000,0.052270,1.409430
0.470000,0.051980,1.408660
0.480000,0.051810,1.408020
0.490000,0.051750,1.407330
0.500000,0.051800,1.406750
0.510000,0.051930,1.406140
0.520000,0.052150,1.405570
0.530000,0.052450,1.405130
0.540000,0.052820,1.404300
0.550000,0.053260,1.404200
0.560000,0.053760,1.403750
0.570000,0.054310,1.403380
0.580000,0.054930,1.402920
0.590000,0.055600,1.402590
0.600000,0.056320,1.402020
0.610000,0.057090,1.401580
0.620000,0.057900,1.401390
0.630000,0.058760,1.401210
0.640000,0.059660,1.400590
0.650000,0.060610,1.400470
0.660000,0.061590,1.400220
0.670000,0.062620,1.400060
0.680000,0.063680,1.399840
0.690000,0.064780,1.399580
0.700000,0.065910,1.399070
0.710000,0.067080,1.399050
0.720000,0.068290,1.398710
0.730000,0.069530,1.398170
0.740000,0.070800,1.398140
0.750000,0.072100,1.397650
0.760000,0.073440,1.397500
0.770000,0.074800,1.397270
0.780000,0.076200,1.396600
0.790000,0.077620,1.396450
0.800000,0.079080,1.396010
0.810000,0.080570,1.396170
0.820000,0.082080,1.396840
0.830000,0.083620,1.397010
0.840000,0.085190,1.396290
0.850000,0.086790,1.396870
0.860000,0.088410,1.396710
0.870000,0.090070,1.396520
0.880000,0.091740,1.396240
0.890000,0.093450,1.396290
0.900000,0.095180,1.396160
0.910000,0.096940,1.396100
0.920000,0.098720,1.395830
0.930000,0.100500,1.395840
0.940000,0.102400,1.395540
0.950000,0.104200,1.395460
0.960000,0.106100,1.395520
0.970000,0.108000,1.395370
0.980000,0.110000,1.395130
0.990000,0.111900,1.395060
1.000000,0.113900,1.395250
1.010000,0.115900,1.395230
1.020000,0.117900,1.395440
1.030000,0.120000,1.391210
1.040000,0.122100,1.391270
1.050000,0.124200,1.391810
1.060000,0.126300,1.391020
1.070000,0.128500,1.391930
1.080000,0.130600,1.392170
1.090000,0.132800,1.392200
1.100000,0.135100,1.391400
1.110000,0.137300,1.392020
1.120000,0.139600,1.391640
1.130000,0.141900,1.390840
1.140000,0.144200,1.391050
1.150000,0.146500,1.390870
1.160000,0.148900,1.391350
1.170000,0.151300,1.391340
1.180000,0.153700,1.391990
1.190000,0.156100,1.391450
1.200000,0.158500,1.391060
1.210000,0.161000,1.389480
1.220000,0.163500,1.390530
1.230000,0.166000,1.389880
1.240000,0.168600,1.389290
1.250000,0.171100,1.389750
1.260000,0.173700,1.389990
1.270000,0.176100,1.390490
1.280000,0.178750,1.390090
1.290000,0.181400,1.389100
1.300000,0.184150,1.388780
1.310000,0.186900,1.388500
1.320000,0.189700,1.388440
1.330000,0.192150,1.388950
1.340000,0.195050,1.388700
1.350000,0.197650,1.388970
1.360000,0.200400,1.389140
1.370000,0.202900,1.390000
1.380000,0.206200,1.389720
1.390000,0.208700,1.389230
1.400000,0.212200,1.389380
1.410000,0.214800,1.388360
1.420000,0.217600,1.389320
1.430000,0.220650,1.389330
1.440000,0.223550,1.389290
1.450000,0.227000,1.388400
1.460000,0.230050,1.388400
1.470000,0.233050,1.388950
1.480000,0.236150,1.389680
1.490000,0.239250,1.389140
1.500000,0.241900,1.388860
1.510000,0.245050,1.388440
1.520000,0.248350,1.388500
1.530000,0.251600,1.388040
1.540000,0.254950,1.388630
1.550000,0.257700,1.389220
1.560000,0.261150,1.388410
1.570000,0.264600,1.388150
1.580000,0.267500,1.387870
1.590000,0.271050,1.387550
1.600000,0.274050,1.387480
1.610000,0.277700,1.387310
1.620000,0.280750,1.388110
1.630000,0.284500,1.387250
1.640000,0.287600,1.386090
1.650000,0.291450,1.387590
1.660000,0.294650,1.387510
1.670000,0.297850,1.387970
1.680000,0.301850,1.387730
1.690000,0.305200,1.387190
1.700000,0.308500,1.386940
1.710000,0.311900,1.387550
1.720000,0.316050,1.386890
1.730000,0.319500,1.387560
1.740000,0.323050,1.387360
1.750000,0.326550,1.387360
1.760000,0.330150,1.386110
1.770000,0.334700,1.387030
1.780000,0.339200,1.386510
1.790000,0.342900,1.386450
1.800000,0.346700,1.386440
1.810000,0.350450,1.386800
1.820000,0.354300,1.387040
1.830000,0.357000,1.386390
1.840000,0.360100,1.387300
1.850000,0.364050,1.387120
1.860000,0.368050,1.386340
1.870000,0.372050,1.385710
1.880000,0.376150,1.386510
1.890000,0.380300,1.386310
1.900000,0.383350,1.386000
1.910000,0.387550,1.386100
1.920000,0.391800,1.385850
1.930000,0.396833,1.386230
1.940000,0.400400,1.386250
1.950000,0.403750,1.385710
1.960000,0.408200,1.385460
1.970000,0.412700,1.386230
1.980000,0.415950,1.385860
1.990000,0.421300,1.386530
2.000000,0.425100,1.386480
2.010000,0.427900,1.398585
2.020000,0.434450,1.397540
2.030000,0.438525,1.396330
2.040000,0.442600,1.395160
2.050000,0.446775,1.395050
2.060000,0.450950,1.395455
2.070000,0.455250,1.396195
2.080000,0.459550,1.396920
2.090000,0.463975,1.396150
2.100000,0.468400,1.395065
2.110000,0.472975,1.394825
2.120000,0.477550,1.394640
2.130000,0.481425,1.395335
2.140000,0.485300,1.397050
2.150000,0.490100,1.398555
2.160000,0.494975,1.399190
2.170000,0.499850,1.398220
2.180000,0.504025,1.397000
2.190000,0.508200,1.397465
2.200000,0.513350,1.399100
2.210000,0.517725,1.400495
2.220000,0.522100,1.400880
2.230000,0.527400,1.399980
2.240000,0.532800,1.398480
2.250000,0.536500,1.397680
2.260000,0.540200,1.397675
2.270000,0.545800,1.398330
2.280000,0.551500,1.399335
2.290000,0.555400,1.399520
2.300000,0.559300,1.398805
2.310000,0.565200,1.398260
2.320000,0.571200,1.398145
2.330000,0.575300,1.398255
2.340000,0.579400,1.398535
2.350000,0.583500,1.398740
2.360000,0.587700,1.398220
2.370000,0.594150,1.397395
2.380000,0.600600,1.396740
2.390000,0.605000,1.396380
2.400000,0.609450,1.396875
2.410000,0.613900,1.397625
2.420000,0.618500,1.398160
2.430000,0.623100,1.398570
2.440000,0.630050,1.398710
2.450000,0.634825,1.397900
2.460000,0.639600,1.396940
2.470000,0.646800,1.396890
2.480000,0.651700,1.397005
2.490000,0.656700,1.396745
2.500000,0.661700,1.396255
2.510000,0.666800,1.396150
2.520000,0.672000,1.396285
2.530000,0.677200,1.395800
2.540000,0.682400,1.394870
2.550000,0.687800,1.394570
2.560000,0.693100,1.395075
2.570000,0.698600,1.395680
2.580000,0.704100,1.395685
2.590000,0.709700,1.395170
2.600000,0.715400,1.394720
2.610000,0.721100,1.394325
2.620000,0.726900,1.394040
2.630000,0.732700,1.394510
2.640000,0.735700,1.395010
2.650000,0.738700,1.395360
2.660000,0.744700,1.395205
2.670000,0.750800,1.395245
2.680000,0.756900,1.395300
2.690000,0.763100,1.395050
2.700000,0.769500,1.395030
2.710000,0.775800,1.395265
2.720000,0.782300,1.395240
2.730000,0.788900,1.395085
2.740000,0.792200,1.395215
2.750000,0.795500,1.395390
2.760000,0.802200,1.395695
2.770000,0.809000,1.396140
2.780000,0.815900,1.396250
2.790000,0.822900,1.395755
2.800000,0.826450,1.395265
2.810000,0.830000,1.395450
2.820000,0.837100,1.395870
2.830000,0.844400,1.396185
2.840000,0.851700,1.396040
2.850000,0.859200,1.395345
2.860000,0.862950,1.394065
2.870000,0.866700,1.393160
2.880000,0.874400,1.393855
2.890000,0.882100,1.394855
2.900000,0.886050,1.394955
2.910000,0.890000,1.394875
2.920000,0.897900,1.394905
2.930000,0.906000,1.394435
2.940000,0.910100,1.393830
2.950000,0.914200,1.393715
2.960000,0.922500,1.393785
2.970000,0.930900,1.393780
2.980000,0.935150,1.393725
2.990000,0.939400,1.393540
3.000000,0.948000,1.393660
3.010000,0.956800,1.394105
3.020000,0.961250,1.394310
3.030000,0.965700,1.394290
3.040000,0.974700,1.393990
3.050000,0.979250,1.393295
3.060000,0.983800,1.392460
3.070000,0.993100,1.391590
3.080000,0.998050,1.391165
3.090000,1.003000,1.391315
3.100000,1.012000,1.391845
3.110000,1.017000,1.392175
