wl,Al_n,Al_k
0.40,0.521350,5.000800
0.41,0.521350,5.000800
0.42,0.542987,5.092500
0.43,0.564625,5.184200
0.44,0.586263,5.275900
0.45,0.637875,5.470225
0.46,0.667850,5.572850
0.47,0.697825,5.675475
0.48,0.756920,5.870840
0.49,0.786040,5.963580
0.50,0.815160,6.056320
0.51,0.844280,6.149060
0.52,0.906633,6.332150
0.53,0.939867,6.422500
0.54,0.973100,6.512850
0.55,1.006333,6.603200
0.56,1.039567,6.693550
0.57,1.121667,6.887450
0.58,1.170533,6.991000
0.59,1.219400,7.094550
0.60,1.268267,7.198100
0.61,1.317133,7.301650
0.62,1.407280,7.471240
0.63,1.448560,7.537280
0.64,1.489840,7.603320
0.65,1.531120,7.669360
0.66,1.636825,7.816575
0.67,1.701250,7.897750
0.68,1.765675,7.978925
0.69,1.896200,8.119380
0.70,1.962300,8.178660
0.71,2.028400,8.237940
0.72,2.094500,8.297220
0.73,2.236400,8.378983
0.74,2.312200,8.401467
0.75,2.388000,8.423950
0.76,2.463800,8.446433
0.77,2.539600,8.468917
0.78,2.666100,8.456467
0.79,2.716800,8.421533
0.80,2.767267,8.343500
0.81,2.767033,8.300400
0.82,2.742700,8.234133
0.83,2.718600,8.210967
0.84,2.625450,8.175400
0.85,2.556400,8.163000
0.86,2.487350,8.150600
0.87,2.418300,8.138200
0.88,2.349250,8.125800
0.89,2.203625,8.161500
0.90,2.127050,8.209600
0.91,2.050475,8.257700
0.92,1.875400,8.402867
0.93,1.776900,8.499933
0.94,1.630475,8.714125
0.95,1.582550,8.831250
0.96,1.534625,8.948375
0.97,1.474000,9.172600
0.98,1.461300,9.279700
0.99,1.448600,9.386800
1.00,1.428680,9.573400
1.01,1.421460,9.652900
1.02,1.414240,9.732400
1.03,1.407020,9.811900
1.04,1.392630,9.999160
1.05,1.385460,10.106920
1.06,1.378290,10.214680
1.07,1.371120,10.322440
1.08,1.363950,10.430200
1.09,1.356780,10.537960
1.10,1.349610,10.645720
1.11,1.342440,10.753480
1.12,1.335270,10.861240
1.13,1.327067,11.075333
1.14,1.326033,11.181667
1.15,1.325000,11.288000
1.16,1.323967,11.394333
1.17,1.322933,11.500667
1.18,1.321900,11.607000
1.19,1.320867,11.713333
1.20,1.319833,11.819667
1.21,1.318800,11.926000
1.22,1.317767,12.032333
1.23,1.316733,12.138667
1.24,1.320647,12.347600
1.25,1.325593,12.450200
1.26,1.330540,12.552800
1.27,1.335487,12.655400
1.28,1.340433,12.758000
1.29,1.345380,12.860600
1.30,1.350327,12.963200
1.31,1.355273,13.065800
1.32,1.360220,13.168400
1.33,1.365167,13.271000
1.34,1.370113,13.373600
1.35,1.375060,13.476200
1.36,1.380007,13.578800
1.37,1.384953,13.681400
1.38,1.400361,13.888000
1.39,1.410822,13.992000
1.40,1.421283,14.096000
1.41,1.431744,14.200000
1.42,1.442206,14.304000
1.43,1.452667,14.408000
1.44,1.463128,14.512000
1.45,1.473589,14.616000
1.46,1.484050,14.720000
1.47,1.494511,14.824000
1.48,1.504972,14.928000
1.49,1.515433,15.032000
1.50,1.525894,15.136000
1.51,1.536356,15.240000
1.52,1.546817,15.344000
1.53,1.557278,15.448000
1.54,1.567739,15.552000
1.55,1.592463,15.753292
1.56,1.606725,15.850583
1.57,1.620988,15.947875
1.58,1.635250,16.045167
1.59,1.649513,16.142458
1.60,1.663775,16.239750
1.61,1.678038,16.337042
1.62,1.692300,16.434333
1.63,1.706562,16.531625
1.64,1.720825,16.628917
1.65,1.735088,16.726208
1.66,1.749350,16.823500
1.67,1.763613,16.920792
1.68,1.777875,17.018083
1.69,1.792138,17.115375
1.70,1.806400,17.212667
1.71,1.820663,17.309958
1.72,1.834925,17.407250
1.73,1.849188,17.504542
1.74,1.863450,17.601833
1.75,1.877713,17.699125
1.76,1.891975,17.796417
1.77,1.906238,17.893708
1.78,1.938943,18.090700
1.79,1.957387,18.190400
1.80,1.975830,18.290100
1.81,1.994273,18.389800
1.82,2.012717,18.489500
1.83,2.031160,18.589200
1.84,2.049603,18.688900
1.85,2.068047,18.788600
1.86,2.086490,18.888300
1.87,2.104933,18.988000
