wl,SIO2_n,SIO2_k
0.40,1.487256,0.00007637
0.41,1.486186,0.00006519
0.42,1.485217,0.00005600
0.43,1.484204,0.00004733
0.44,1.483329,0.00004058
0.45,1.482576,0.00003532
0.46,1.481776,0.00003026
0.47,1.481088,0.00002633
0.48,1.480427,0.00002291
0.49,1.479793,0.00001993
0.50,1.479184,0.00001735
0.51,1.478599,0.00001511
0.52,1.478097,0.00001336
0.53,1.477613,0.00001182
0.54,1.477145,0.00001046
0.55,1.476692,0.00000927
0.56,1.476254,0.00000821
0.57,1.475830,0.00000728
0.58,1.475419,0.00000646
0.59,1.475070,0.00000582
0.60,1.474730,0.00000525
0.61,1.474399,0.00000474
0.62,1.474076,0.00000428
0.63,1.473761,0.00000386
0.64,1.473454,0.00000349
0.65,1.473154,0.00000316
0.66,1.472861,0.00000286
0.67,1.472615,0.00000263
0.68,1.472334,0.00000238
0.69,1.472098,0.00000219
0.70,1.471866,0.00000202
0.71,1.471638,0.00000186
0.72,1.471414,0.00000171
0.73,1.471193,0.00000158
0.74,1.470975,0.00000145
0.75,1.470761,0.00000134
0.76,1.470550,0.00000124
0.77,1.470341,0.00000115
0.78,1.470170,0.00000107
0.79,1.469966,0.00000099
0.80,1.469798,0.00000093
0.81,1.469599,0.00000086
0.82,1.469434,0.00000081
0.83,1.469271,0.00000076
0.84,1.469108,0.00000071
0.85,1.468915,0.00000066
0.86,1.468755,0.00000062
0.87,1.468596,0.00000059
0.88,1.468438,0.00000055
0.89,1.468312,0.00000053
0.90,1.468156,0.00000050
0.91,1.467999,0.00000047
0.92,1.467843,0.00000044
0.93,1.467688,0.00000041
0.94,1.467564,0.00000040
0.95,1.467409,0.00000037
0.96,1.467285,0.00000036
0.97,1.467130,0.00000034
0.98,1.467006,0.00000032
0.99,1.466851,0.00000030
1.00,1.466727,0.00000029
1.01,1.466602,0.00000028
1.02,1.466447,0.00000026
1.03,1.466322,0.00000025
1.04,1.466196,0.00000024
1.05,1.466071,0.00000023
1.06,1.465945,0.00000022
1.07,1.465818,0.00000021
1.08,1.465659,0.00000020
1.09,1.465531,0.00000019
1.10,1.465435,0.00000019
1.11,1.465306,0.00000018
1.12,1.465176,0.00000017
1.13,1.465045,0.00000017
1.14,1.464914,0.00000016
1.15,1.464781,0.00000015
1.16,1.464648,0.00000015
1.17,1.464547,0.00000014
1.18,1.464412,0.00000014
1.19,1.464276,0.00000013
1.20,1.464173,0.00000013
1.21,1.464035,0.00000012
1.22,1.463930,0.00000012
1.23,1.463789,0.00000012
1.24,1.463647,0.00000011
1.25,1.463540,0.00000011
1.26,1.463431,0.00000011
1.27,1.463286,0.00000011
1.28,1.463175,0.00000011
1.29,1.463027,0.00000011
1.30,1.462914,0.00000011
1.31,1.462800,0.00000011
1.32,1.462647,0.00000012
1.33,1.462531,0.00000013
1.34,1.462413,0.00000015
1.35,1.462295,0.00000017
1.36,1.462135,0.00000021
1.37,1.462014,0.00000025
1.38,1.461891,0.00000031
1.39,1.461767,0.00000039
1.40,1.461642,0.00000048
1.41,1.461515,0.00000060
1.42,1.461387,0.00000076
1.43,1.461257,0.00000095
1.44,1.461126,0.00000120
1.45,1.460993,0.00000150
1.46,1.460859,0.00000188
1.47,1.460723,0.00000234
1.48,1.460585,0.00000291
1.49,1.460445,0.00000359
1.50,1.460304,0.00000442
1.51,1.460161,0.00000540
1.52,1.460015,0.00000658
1.53,1.459868,0.00000797
1.54,1.459719,0.00000961
1.55,1.459618,0.00001085
1.56,1.459465,0.00001298
1.57,1.459310,0.00001545
1.58,1.459153,0.00001830
1.59,1.459047,0.00002043
1.60,1.458886,0.00002401
1.61,1.458723,0.00002809
1.62,1.458557,0.00003271
1.63,1.458446,0.00003612
1.64,1.458276,0.00004175
1.65,1.458104,0.00004805
1.66,1.457988,0.00005264
1.67,1.457812,0.00006016
1.68,1.457694,0.00006560
1.69,1.457514,0.00007444
1.70,1.457331,0.00008414
1.71,1.457208,0.00009109
1.72,1.457021,0.00010228
1.73,1.456896,0.00011025
1.74,1.456705,0.00012300
1.75,1.456577,0.00013204
1.76,1.456382,0.00014639
1.77,1.456251,0.00015650
1.78,1.456052,0.00017246
1.79,1.455918,0.00018364
1.80,1.455783,0.00019524
1.81,1.455579,0.00021341
1.82,1.455441,0.00022603
1.83,1.455232,0.00024568
1.84,1.455092,0.00025925
1.85,1.454951,0.00027317
1.86,1.454737,0.00029467
1.87,1.454593,0.00030940
1.88,1.454447,0.00032441
1.89,1.454227,0.00034741
1.90,1.454079,0.00036304
1.91,1.453930,0.00037886
1.92,1.453780,0.00039486
1.93,1.453552,0.00041911
1.94,1.453398,0.00043541
1.95,1.453244,0.00045178
1.96,1.453088,0.00046818
1.97,1.452851,0.00049278
1.98,1.452692,0.00050913
1.99,1.452531,0.00052539
2.00,1.452368,0.00054155
2.01,1.452204,0.00055755
2.02,1.452038,0.00057338
2.03,1.451786,0.00059671
2.04,1.451616,0.00061194
2.05,1.451444,0.00062687
2.06,1.451270,0.00064148
2.07,1.451094,0.00065574
2.08,1.450916,0.00066960
2.09,1.450736,0.00068306
2.10,1.450553,0.00069608
2.11,1.450367,0.00070862
