wl,Ag_k,PDMS_k
0.40,2.090000,0.00000140
0.41,2.203000,0.00000138
0.42,2.310000,0.00000138
0.43,2.413000,0.00000140
0.44,2.513000,0.00000140
0.45,2.609000,0.00000141
0.46,2.703000,0.00000142
0.47,2.795000,0.00000143
0.48,2.886000,0.00000143
0.49,2.974000,0.00000146
0.50,3.062000,0.00000146
0.51,3.148000,0.00000147
0.52,3.233000,0.00000148
0.53,3.318000,0.00000148
0.54,3.401000,0.00000149
0.55,3.484000,0.00000151
0.56,3.566000,0.00000150
0.57,3.648000,0.00000153
0.58,3.728000,0.00000155
0.59,3.809000,0.00000154
0.60,3.889000,0.00000157
0.61,3.968000,0.00000157
0.62,4.048000,0.00000157
0.63,4.126000,0.00000158
0.64,4.205000,0.00000158
0.65,4.283000,0.00000159
0.66,4.361000,0.00000158
0.67,4.438000,0.00000159
0.68,4.516000,0.00000160
0.69,4.593000,0.00000160
0.70,4.669000,0.00000161
0.71,4.746000,0.00000162
0.72,4.823000,0.00000163
0.73,4.899000,0.00000164
0.74,4.975000,0.00000169
0.75,5.051000,0.00000166
0.76,5.126000,0.00000165
0.77,5.202000,0.00000167
0.78,5.278000,0.00000167
0.79,5.353000,0.00000167
0.80,5.428000,0.00000169
0.81,5.503000,0.00000170
0.82,5.578000,0.00000172
0.83,5.653000,0.00000173
0.84,5.728000,0.00000162
0.85,5.802000,0.00000176
0.86,5.877000,0.00000170
0.87,5.951000,0.00000222
0.88,6.026000,0.00000234
0.89,6.100000,0.00000239
0.90,6.174000,0.00000232
0.91,6.248000,0.00000231
0.92,6.322000,0.00000279
0.93,6.396000,0.00000260
0.94,6.470000,0.00000258
0.95,6.544000,0.00000232
0.96,6.618000,0.00000278
0.97,6.691000,0.00000263
0.98,6.765000,0.00000245
0.99,6.838000,0.00000256
1.00,6.912000,0.00000288
1.01,6.985000,0.00000226
1.02,7.059000,0.00000261
1.03,7.132000,0.00000254
1.04,7.206000,0.00000244
1.05,7.279000,0.00000238
1.06,7.352000,0.00000247
1.07,7.425000,0.00000252
1.08,7.498000,0.00000257
1.09,7.571000,0.00000276
1.10,7.645000,0.00000270
1.11,7.718000,0.00000240
1.12,7.791000,0.00000266
1.13,7.863000,0.00000285
1.14,7.936000,0.00000342
1.15,8.009000,0.00000481
1.16,8.082000,0.00000484
1.17,8.155000,0.00000534
1.18,8.228000,0.00001100
1.19,8.300000,0.00001460
1.20,8.373000,0.00000475
1.21,8.446000,0.00000387
1.22,8.518000,0.00000370
1.23,8.591000,0.00000300
1.24,8.664000,0.00000289
1.25,8.736000,0.00000300
1.26,8.809000,0.00000304
1.27,8.875000,0.00000316
1.28,8.948000,0.00000319
1.29,9.020500,0.00000311
1.30,9.094500,0.00000314
1.31,9.168500,0.00000311
1.32,9.243000,0.00000312
1.33,9.309000,0.00000325
1.34,9.384500,0.00000354
1.35,9.451000,0.00000413
1.36,9.524000,0.00000543
1.37,9.586000,0.00000945
1.38,9.670000,0.00000979
1.39,9.734000,0.00001140
1.40,9.820000,0.00001420
1.41,9.886000,0.00001240
1.42,9.953000,0.00000787
1.43,10.030000,0.00000699
1.44,10.100000,0.00000605
1.45,10.180000,0.00000511
1.46,10.255000,0.00000512
1.47,10.325000,0.00000510
1.48,10.400000,0.00000303
1.49,10.470000,0.00000534
1.50,10.530000,0.00000584
1.51,10.610000,0.00000690
1.52,10.680000,0.00000780
1.53,10.755000,0.00000785
1.54,10.830000,0.00000798
1.55,10.890000,0.00000783
1.56,10.970000,0.00000728
1.57,11.045000,0.00000595
1.58,11.110000,0.00000523
1.59,11.185000,0.00000501
1.60,11.250000,0.00000504
1.61,11.330000,0.00000517
1.62,11.395000,0.00000553
1.63,11.475000,0.00000614
1.64,11.540000,0.00000767
1.65,11.620000,0.00000977
1.66,11.685000,0.00001020
1.67,11.755000,0.00001080
1.68,11.835000,0.00001810
1.69,11.900000,0.00007250
1.70,11.970000,0.00005970
1.71,12.035000,0.00003220
1.72,12.125000,0.00002160
1.73,12.190000,0.00003960
1.74,12.260000,0.00007030
1.75,12.330000,0.00007410
1.76,12.400000,0.00003460
1.77,12.486667,0.00002280
1.78,12.575000,0.00002780
