wl,k
0.40,2.09
0.41,2.203
0.42,2.31
0.43,2.413
0.44,2.513
0.45,2.609
0.46,2.703
0.47,2.795
0.48,2.886
0.49,2.974
0.50,3.062
0.51,3.148
0.52,3.233
0.53,3.318
0.54,3.401
0.55,3.484
0.56,3.566
0.57,3.648
0.58,3.728
0.59,3.809
0.60,3.889
0.61,3.968
0.62,4.048
0.63,4.126
0.64,4.205
0.65,4.283
0.66,4.361
0.67,4.438
0.68,4.516
0.69,4.593
0.70,4.669
0.71,4.746
0.72,4.823
0.73,4.899
0.74,4.975
0.75,5.051
0.76,5.126
0.77,5.202
0.78,5.278
0.79,5.353
0.80,5.428
0.81,5.503
0.82,5.578
0.83,5.653
0.84,5.728
0.85,5.802
0.86,5.877
0.87,5.951
0.88,6.026
0.89,6.1
0.90,6.174
0.91,6.248
0.92,6.322
0.93,6.396
0.94,6.47
0.95,6.544
0.96,6.618
0.97,6.691
0.98,6.765
0.99,6.838
1.00,6.912
1.01,6.985
1.02,7.059
1.03,7.132
1.04,7.206
1.05,7.279
1.06,7.352
1.07,7.425
1.08,7.498
1.09,7.571
1.10,7.645
1.11,7.718
1.12,7.791
1.13,7.863
1.14,7.936
1.15,8.009
1.16,8.082
1.17,8.155
1.18,8.228
1.19,8.3
1.20,8.373
1.21,8.446
1.22,8.518
1.23,8.591
1.24,8.664
1.25,8.736
1.26,8.809
1.27,8.869
1.27,8.881
1.28,8.942
1.28,8.954
1.29,9.015
1.29,9.026
1.30,9.09
1.30,9.099
1.31,9.166
1.31,9.171
1.32,9.243
1.32,9.243
1.33,9.302
1.33,9.316
1.34,9.381
1.34,9.388
1.35,9.442
1.35,9.46
1.36,9.524
1.37,9.586
1.38,9.67
1.39,9.734
1.40,9.82
1.41,9.886
1.42,9.953
1.43,10.02
1.43,10.04
1.44,10.09
1.44,10.11
1.45,10.18
1.45,10.18
1.46,10.25
1.46,10.26
1.47,10.32
1.47,10.33
1.48,10.4
1.48,10.4
1.49,10.47
1.49,10.47
1.50,10.52
1.50,10.54
1.51,10.6
1.51,10.62
1.52,10.67
1.52,10.69
1.53,10.75
1.53,10.76
1.54,10.83
1.54,10.83
1.55,10.88
1.55,10.9
1.56,10.96
1.56,10.98
1.57,11.04
1.57,11.05
1.58,11.1
1.58,11.12
1.59,11.18
1.59,11.19
1.60,11.24
1.60,11.26
1.61,11.32
1.61,11.34
1.62,11.38
1.62,11.41
1.63,11.47
1.63,11.48
1.64,11.53
1.64,11.55
1.65,11.62
1.65,11.62
1.66,11.68
1.66,11.69
1.67,11.74
1.67,11.77
1.68,11.83
1.68,11.84
1.69,11.89
1.69,11.91
1.70,11.96
1.70,11.98
1.71,12.02
1.71,12.05
1.72,12.12
1.72,12.13
1.73,12.18
1.73,12.2
1.74,12.25
1.74,12.27
1.75,12.32
1.75,12.34
1.76,12.39
1.76,12.41
1.77,12.46
1.77,12.48
1.77,12.52
1.78,12.56
1.78,12.59
1.79,12.63
1.79,12.67
1.80,12.7
1.80,12.74
1.81,12.77
1.81,12.81
1.82,12.84
1.82,12.88
1.83,12.91
1.84,12.96
1.84,12.99
1.85,13.03
1.85,13.06
1.86,13.11
1.86,13.13
1.87,13.18
1.87,13.2
1.88,13.26
1.88,13.27
1.89,13.34
1.89,13.34
1.90,13.38
1.90,13.42
1.91,13.46
1.91,13.49
1.92,13.54
1.92,13.56
1.93,13.62
1.93,13.63
1.93,13.66
1.94,13.7
1.95,13.75
1.95,13.77
1.96,13.83
1.96,13.84
1.97,13.92
1.97,13.92
1.98,13.96
1.98,13.99
1.99,14.05
1.99,14.06
1.99,14.09
2.00,14.13
2.01,14.18
2.02,14.27
2.02,14.31
2.04,14.4
2.04,14.45
2.06,14.54
2.06,14.59
2.08,14.68
2.08,14.73
2.10,14.83
2.10,14.88
2.12,14.97
2.12,15.02
2.14,15.12
2.15,15.17
2.15,15.23
2.17,15.33
2.17,15.38
2.19,15.48
2.20,15.54
2.20,15.59
2.22,15.7
2.23,15.75
2.23,15.81
2.24,15.86
2.26,15.97
2.27,16.03
2.27,16.09
2.28,16.14
2.30,16.26
2.31,16.32
2.31,16.38
2.32,16.44
2.34,16.56
2.35,16.62
2.36,16.68
2.37,16.74
2.37,16.8
2.38,16.86
2.39,16.92
2.41,17.05
2.42,17.12
2.43,17.18
2.44,17.24
2.44,17.31
2.46,17.38
2.46,17.44
2.47,17.51
2.48,17.58
2.49,17.65
2.50,17.71
2.51,17.78
2.52,17.85
2.53,17.92
2.54,17.99
2.55,18.06
2.56,18.14
2.57,18.21
2.58,18.28
2.59,18.35
2.60,18.43
2.61,18.5
2.62,18.58
2.63,18.65
2.65,18.73
2.66,18.81
2.67,18.89
2.68,18.96
2.69,19.04
2.70,19.12
2.71,19.2
2.72,19.28
2.73,19.36
2.75,19.45
2.76,19.53
2.77,19.61
2.78,19.7
2.79,19.78
2.81,19.87
2.82,19.96
2.83,20.04
2.84,20.13
2.85,20.22
2.87,20.31
2.88,20.4
2.89,20.49
2.91,20.58
2.92,20.68
2.93,20.77
2.95,20.86
2.96,20.96
2.97,21.06
2.99,21.15
3.00,21.25
3.01,21.35
3.03,21.45
3.04,21.55
3.06,21.65
3.07,21.75
3.09,21.86
3.10,21.96
3.12,22.07
3.13,22.17
3.15,22.28
3.16,22.39
3.18,22.5
3.19,22.61
3.21,22.72
3.22,22.84
3.24,22.95
3.26,23.07
3.27,23.18
3.29,23.3
3.31,23.42
3.32,23.54
3.34,23.66
3.36,23.78
3.38,23.9
3.39,24.03
3.41,24.16
3.43,24.28
3.45,24.41
3.46,24.54
3.48,24.67
3.50,24.81
3.52,24.94
3.54,25.08
3.56,25.21
3.58,25.35
3.60,25.49
3.62,25.63
3.64,25.78
3.66,25.92
3.68,26.07
3.70,26.22
3.72,26.37
3.75,26.52
3.77,26.67
3.79,26.83
3.81,26.98
3.83,27.14
3.86,27.3
3.88,27.47
3.90,27.63
3.93,27.8
3.95,27.97
3.98,28.14
4.00,28.31
4.03,28.48
4.05,28.66
4.08,28.84
4.10,29.02
4.13,29.2
4.15,29.39
4.18,29.58
4.21,29.77
4.24,29.96
4.26,30.16
4.29,30.35
4.32,30.56
4.35,30.76
4.38,30.96
4.41,31.17
4.44,31.38
4.47,31.6
4.50,31.82
4.53,32.04
4.56,32.26
4.60,32.49
4.63,32.72
4.66,32.95
4.70,33.18
4.73,33.42
4.76,33.67
