wl,n
0.40,0.05817
0.41,0.05647
0.42,0.05515
0.43,0.05411
0.44,0.05332
0.45,0.05271
0.46,0.05227
0.47,0.05198
0.48,0.05181
0.49,0.05175
0.50,0.0518
0.51,0.05193
0.52,0.05215
0.53,0.05245
0.54,0.05282
0.55,0.05326
0.56,0.05376
0.57,0.05431
0.58,0.05493
0.59,0.0556
0.60,0.05632
0.61,0.05709
0.62,0.0579
0.63,0.05876
0.64,0.05966
0.65,0.06061
0.66,0.06159
0.67,0.06262
0.68,0.06368
0.69,0.06478
0.70,0.06591
0.71,0.06708
0.72,0.06829
0.73,0.06953
0.74,0.0708
0.75,0.0721
0.76,0.07344
0.77,0.0748
0.78,0.0762
0.79,0.07762
0.80,0.07908
0.81,0.08057
0.82,0.08208
0.83,0.08362
0.84,0.08519
0.85,0.08679
0.86,0.08841
0.87,0.09007
0.88,0.09174
0.89,0.09345
0.90,0.09518
0.91,0.09694
0.92,0.09872
0.93,0.1005
0.94,0.1024
0.95,0.1042
0.96,0.1061
0.97,0.108
0.98,0.11
0.99,0.1119
1.00,0.1139
1.01,0.1159
1.02,0.1179
1.03,0.12
1.04,0.1221
1.05,0.1242
1.06,0.1263
1.07,0.1285
1.08,0.1306
1.09,0.1328
1.10,0.1351
1.11,0.1373
1.12,0.1396
1.13,0.1419
1.14,0.1442
1.15,0.1465
1.16,0.1489
1.17,0.1513
1.18,0.1537
1.19,0.1561
1.20,0.1585
1.21,0.161
1.22,0.1635
1.23,0.166
1.24,0.1686
1.25,0.1711
1.26,0.1737
1.27,0.1759
1.27,0.1763
1.28,0.1785
1.28,0.179
1.29,0.1812
1.29,0.1816
1.30,0.184
1.30,0.1843
1.31,0.1868
1.31,0.187
1.32,0.1897
1.32,0.1897
1.33,0.1919
1.33,0.1924
1.34,0.1949
1.34,0.1952
1.35,0.1973
1.35,0.198
1.36,0.2004
1.37,0.2029
1.38,0.2062
1.39,0.2087
1.40,0.2122
1.41,0.2148
1.42,0.2176
1.43,0.2203
1.43,0.221
1.44,0.2231
1.44,0.224
1.45,0.227
1.45,0.227
1.46,0.23
1.46,0.2301
1.47,0.233
1.47,0.2331
1.48,0.2361
1.48,0.2362
1.49,0.2392
1.49,0.2393
1.50,0.2414
1.50,0.2424
1.51,0.2446
1.51,0.2455
1.52,0.248
1.52,0.2487
1.53,0.2514
1.53,0.2518
1.54,0.2549
1.54,0.255
1.55,0.2572
1.55,0.2582
1.56,0.2608
1.56,0.2615
1.57,0.2645
1.57,0.2647
1.58,0.267
1.58,0.268
1.59,0.2708
1.59,0.2713
1.60,0.2734
1.60,0.2747
1.61,0.2774
1.61,0.278
1.62,0.2801
1.62,0.2814
1.63,0.2842
1.63,0.2848
1.64,0.287
1.64,0.2882
1.65,0.2913
1.65,0.2916
1.66,0.2942
1.66,0.2951
1.67,0.2972
1.67,0.2985
1.68,0.3017
1.68,0.302
1.69,0.3048
1.69,0.3056
1.70,0.3079
1.70,0.3091
1.71,0.3111
1.71,0.3127
1.72,0.3159
1.72,0.3162
1.73,0.3192
1.73,0.3198
1.74,0.3226
1.74,0.3235
1.75,0.326
1.75,0.3271
1.76,0.3295
1.76,0.3308
1.77,0.333
1.77,0.3345
1.77,0.3366
1.78,0.3382
1.78,0.3402
1.79,0.3419
1.79,0.3439
1.80,0.3457
1.80,0.3477
1.81,0.3494
1.81,0.3515
1.82,0.3532
1.82,0.3554
1.83,0.357
1.84,0.3593
1.84,0.3609
1.85,0.3634
1.85,0.3647
1.86,0.3675
1.86,0.3686
1.87,0.3716
1.87,0.3725
1.88,0.3759
1.88,0.3764
1.89,0.3802
1.89,0.3804
1.90,0.3824
1.90,0.3843
1.91,0.3868
1.91,0.3883
1.92,0.3913
1.92,0.3923
1.93,0.3959
1.93,0.3964
1.93,0.3982
1.94,0.4004
1.95,0.403
1.95,0.4045
1.96,0.4078
1.96,0.4086
1.97,0.4127
1.97,0.4127
1.98,0.4151
1.98,0.4168
1.99,0.4202
1.99,0.421
1.99,0.4227
2.00,0.4251
2.01,0.4279
2.02,0.4331
2.02,0.4358
2.04,0.4412
2.04,0.444
2.06,0.4495
2.06,0.4524
2.08,0.4581
2.08,0.461
2.10,0.4669
2.10,0.4699
2.12,0.476
2.12,0.4791
2.14,0.4853
2.15,0.4885
2.15,0.4917
2.17,0.4982
2.17,0.5015
2.19,0.5082
2.20,0.5116
2.20,0.5151
2.22,0.5221
2.23,0.5256
2.23,0.5292
2.24,0.5328
2.26,0.5402
2.27,0.5439
2.27,0.5477
2.28,0.5515
2.30,0.5593
2.31,0.5632
2.31,0.5672
2.32,0.5712
2.34,0.5794
2.35,0.5835
2.36,0.5877
2.37,0.592
2.37,0.5963
2.38,0.6006
2.39,0.605
2.41,0.6139
2.42,0.6185
2.43,0.6231
2.44,0.6277
2.44,0.6324
2.46,0.6372
2.46,0.642
2.47,0.6468
2.48,0.6517
2.49,0.6567
2.50,0.6617
2.51,0.6668
2.52,0.672
2.53,0.6772
2.54,0.6824
2.55,0.6878
2.56,0.6931
2.57,0.6986
2.58,0.7041
2.59,0.7097
2.60,0.7154
2.61,0.7211
2.62,0.7269
2.63,0.7327
2.65,0.7387
2.66,0.7447
2.67,0.7508
2.68,0.7569
2.69,0.7631
2.70,0.7695
2.71,0.7758
2.72,0.7823
2.73,0.7889
2.75,0.7955
2.76,0.8022
2.77,0.809
2.78,0.8159
2.79,0.8229
2.81,0.83
2.82,0.8371
2.83,0.8444
2.84,0.8517
2.85,0.8592
2.87,0.8667
2.88,0.8744
2.89,0.8821
2.91,0.89
2.92,0.8979
2.93,0.906
2.95,0.9142
2.96,0.9225
2.97,0.9309
2.99,0.9394
3.00,0.948
3.01,0.9568
3.03,0.9657
3.04,0.9747
3.06,0.9838
3.07,0.9931
3.09,1.003
3.10,1.012
3.12,1.022
3.13,1.031
3.15,1.041
3.16,1.052
3.18,1.062
3.19,1.072
3.21,1.083
3.22,1.093
3.24,1.104
3.26,1.115
3.27,1.126
3.29,1.138
3.31,1.149
3.32,1.161
3.34,1.173
3.36,1.185
3.38,1.197
3.39,1.21
3.41,1.222
3.43,1.235
3.45,1.248
3.46,1.262
3.48,1.275
3.50,1.289
3.52,1.303
3.54,1.317
3.56,1.331
3.58,1.346
3.60,1.361
3.62,1.376
3.64,1.391
3.66,1.407
3.68,1.422
3.70,1.439
3.72,1.455
3.75,1.472
3.77,1.489
3.79,1.506
3.81,1.524
3.83,1.541
3.86,1.56
3.88,1.578
3.90,1.597
3.93,1.616
3.95,1.636
3.98,1.656
4.00,1.676
