wl,Al2O3_k
3.10152e-06,8.93886e-12
3.12186e-06,9.02444e-12
3.14233e-06,9.10947e-12
3.16294e-06,9.19394e-12
3.18369e-06,9.27787e-12
3.20457e-06,9.36124e-12
3.22558e-06,9.44408e-12
3.24674e-06,9.52637e-12
3.26803e-06,9.60813e-12
3.28946e-06,9.70052e-12
3.31104e-06,9.79522e-12
3.33275e-06,9.8893e-12
3.35461e-06,9.98277e-12
3.37661e-06,1.00756e-11
3.39875e-06,1.01679e-11
3.42104e-06,1.02595e-11
3.44348e-06,1.03506e-11
3.46606e-06,1.04411e-11
3.4888e-06,1.05309e-11
3.51168e-06,1.06292e-11
3.53471e-06,1.07332e-11
3.55789e-06,1.08365e-11
3.58122e-06,1.09391e-11
3.60471e-06,1.10411e-11
3.62835e-06,1.11424e-11
3.65215e-06,1.1243e-11
3.6761e-06,1.1343e-11
3.70021e-06,1.14423e-11
3.72448e-06,1.1541e-11
3.7489e-06,1.16453e-11
3.77349e-06,1.17593e-11
3.79824e-06,1.18726e-11
3.82315e-06,1.19851e-11
3.84822e-06,1.20969e-11
3.87346e-06,1.22079e-11
3.89886e-06,1.23182e-11
3.92443e-06,1.24278e-11
3.95017e-06,1.25367e-11
3.97608e-06,1.26449e-11
4.00215e-06,1.27556e-11
4.0284e-06,1.28809e-11
4.05482e-06,1.30054e-11
4.08141e-06,1.31291e-11
4.10818e-06,1.3252e-11
4.13512e-06,1.33741e-11
4.16224e-06,1.34954e-11
4.18954e-06,1.36159e-11
4.21702e-06,1.37357e-11
4.24467e-06,1.38546e-11
4.27251e-06,1.39728e-11
4.30053e-06,1.41095e-11
4.32874e-06,1.4246e-11
4.35713e-06,1.43816e-11
4.3857e-06,1.45164e-11
4.41447e-06,1.46503e-11
4.44342e-06,1.47833e-11
4.47256e-06,1.49154e-11
4.50189e-06,1.50467e-11
4.53142e-06,1.51771e-11
4.56113e-06,1.53066e-11
4.59105e-06,1.54521e-11
4.62116e-06,1.5602e-11
4.65147e-06,1.57509e-11
4.68197e-06,1.58988e-11
4.71268e-06,1.60457e-11
4.74358e-06,1.61917e-11
4.77469e-06,1.63368e-11
4.80601e-06,1.64809e-11
4.83753e-06,1.6624e-11
4.86925e-06,1.67663e-11
4.90119e-06,1.6921e-11
4.93333e-06,1.70856e-11
4.96569e-06,1.72492e-11
4.99825e-06,1.74117e-11
5.03103e-06,1.75732e-11
5.06403e-06,1.77336e-11
5.09724e-06,1.7893e-11
5.13067e-06,1.80513e-11
5.16432e-06,1.82086e-11
5.19819e-06,1.83648e-11
5.23228e-06,1.85292e-11
5.2666e-06,1.87097e-11
5.30114e-06,1.88892e-11
5.3359e-06,1.90674e-11
5.3709e-06,1.92445e-11
5.40612e-06,1.94204e-11
5.44158e-06,1.95952e-11
5.47726e-06,1.97688e-11
5.51319e-06,1.99413e-11
5.54934e-06,2.01127e-11
5.58574e-06,2.0287e-11
5.62237e-06,2.04856e-11
5.65925e-06,2.06829e-11
5.69636e-06,2.08789e-11
5.73372e-06,2.10736e-11
5.77132e-06,2.12671e-11
5.80917e-06,2.14593e-11
5.84727e-06,2.16502e-11
5.88562e-06,2.18399e-11
5.92422e-06,2.20284e-11
5.96307e-06,2.22156e-11
6.00218e-06,2.24315e-11
6.04155e-06,2.26482e-11
6.08117e-06,2.28635e-11
6.12105e-06,2.30774e-11
6.16119e-06,2.32899e-11
6.2016e-06,2.3501e-11
6.24227e-06,2.37108e-11
6.28321e-06,2.39192e-11
6.32442e-06,2.41262e-11
6.3659e-06,2.43319e-11
6.40765e-06,2.45619e-11
6.44967e-06,2.48003e-11
6.49197e-06,2.50372e-11
6.53455e-06,2.52725e-11
6.5774e-06,2.55063e-11
6.62054e-06,2.57386e-11
6.66396e-06,2.59693e-11
6.70767e-06,2.61985e-11
6.75166e-06,2.64263e-11
6.79594e-06,2.66526e-11
6.84051e-06,2.68977e-11
6.88537e-06,2.71604e-11
6.93053e-06,2.74213e-11
6.97598e-06,2.76806e-11
7.02173e-06,2.79382e-11
7.06778e-06,2.81941e-11
7.11413e-06,2.84483e-11
7.16079e-06,2.87009e-11
7.20775e-06,2.89519e-11
7.25502e-06,2.92012e-11
7.30261e-06,2.94623e-11
7.3505e-06,2.9752e-11
7.39871e-06,3.00399e-11
7.44723e-06,3.03258e-11
7.49607e-06,3.061e-11
7.54523e-06,3.08922e-11
7.59472e-06,3.11726e-11
7.64453e-06,3.14512e-11
7.69466e-06,3.1728e-11
7.74513e-06,3.2003e-11
7.79592e-06,3.2281e-11
7.84705e-06,3.26007e-11
7.89851e-06,3.29183e-11
7.95031e-06,3.32338e-11
8.00246e-06,3.35473e-11
8.05494e-06,3.38587e-11
8.10777e-06,3.41681e-11
8.16094e-06,3.44755e-11
8.21446e-06,3.47809e-11
8.26833e-06,3.50843e-11
8.32256e-06,3.53857e-11
8.37714e-06,3.57341e-11
8.43208e-06,3.6086e-11
8.48738e-06,3.64357e-11
8.54305e-06,3.67831e-11
8.59908e-06,3.71282e-11
8.65547e-06,3.74711e-11
8.71224e-06,3.78117e-11
8.76938e-06,3.81501e-11
8.82689e-06,3.84863e-11
8.88478e-06,3.88203e-11
8.94305e-06,3.91943e-11
9.0017e-06,3.9585e-11
9.06074e-06,3.99731e-11
9.12016e-06,4.03588e-11
9.17997e-06,4.07419e-11
9.24018e-06,4.11226e-11
9.30078e-06,4.15007e-11
9.36178e-06,4.18764e-11
9.42317e-06,4.22497e-11
9.48497e-06,4.26205e-11
9.54718e-06,4.30219e-11
9.60979e-06,4.34568e-11
9.67282e-06,4.38887e-11
9.73626e-06,4.43179e-11
9.80011e-06,4.47443e-11
9.86438e-06,4.51679e-11
9.92908e-06,4.55887e-11
9.99419e-06,4.60068e-11
1.00597e-05,4.64222e-11
1.01257e-05,4.68349e-11
1.01921e-05,4.72664e-11
1.0259e-05,4.77528e-11
1.03262e-05,4.8236e-11
1.0394e-05,4.87161e-11
1.04621e-05,4.9193e-11
1.05308e-05,4.96669e-11
1.05998e-05,5.01376e-11
1.06693e-05,5.06053e-11
1.07393e-05,5.107e-11
1.08097e-05,5.15316e-11
1.08806e-05,5.19959e-11
1.0952e-05,5.25415e-11
1.10238e-05,5.30836e-11
