wl,Al2O3_n,Al2O3_k
0.40,1.689463,0.00085991
0.41,1.688250,0.00083849
0.42,1.686399,0.00080587
0.43,1.684652,0.00077516
0.44,1.683406,0.00075329
0.45,1.681824,0.00072554
0.46,1.680695,0.00070573
0.47,1.679611,0.00068672
0.48,1.678233,0.00066254
0.49,1.677246,0.00064523
0.50,1.676298,0.00062857
0.51,1.675386,0.00061255
0.52,1.674509,0.00059712
0.53,1.673665,0.00058225
0.54,1.672851,0.00056792
0.55,1.672325,0.00055865
0.56,1.671560,0.00054515
0.57,1.670822,0.00053212
0.58,1.670344,0.00052369
0.59,1.669647,0.00051140
0.60,1.668973,0.00049953
0.61,1.668537,0.00049184
0.62,1.667899,0.00048062
0.63,1.667485,0.00047335
0.64,1.666880,0.00046275
0.65,1.666487,0.00045588
0.66,1.666102,0.00044916
0.67,1.665538,0.00043935
0.68,1.665171,0.00043299
0.69,1.664810,0.00042677
0.70,1.664456,0.00042069
0.71,1.664108,0.00041474
0.72,1.663597,0.00040606
0.73,1.663263,0.00040043
0.74,1.662935,0.00039492
0.75,1.662611,0.00038953
0.76,1.662292,0.00038427
0.77,1.661978,0.00037912
0.78,1.661668,0.00037409
0.79,1.661362,0.00036917
0.80,1.661060,0.00036436
0.81,1.660761,0.00035967
0.82,1.660613,0.00035736
0.83,1.660319,0.00035283
0.84,1.660028,0.00034840
0.85,1.659740,0.00034407
0.86,1.659454,0.00033986
0.87,1.659313,0.00033779
0.88,1.659031,0.00033372
0.89,1.658751,0.00032976
0.90,1.658472,0.00032590
0.91,1.658334,0.00032400
0.92,1.658058,0.00032029
0.93,1.657784,0.00031668
0.94,1.657647,0.00031491
0.95,1.657374,0.00031145
0.96,1.657102,0.00030808
0.97,1.656967,0.00030643
0.98,1.656696,0.00030321
0.99,1.656560,0.00030164
1.00,1.656290,0.00029857
1.01,1.656154,0.00029707
1.02,1.655884,0.00029414
1.03,1.655748,0.00029272
1.04,1.655477,0.00028994
1.05,1.655342,0.00028858
1.06,1.655070,0.00028595
1.07,1.654934,0.00028467
1.08,1.654661,0.00028219
1.09,1.654524,0.00028098
1.10,1.654386,0.00027981
1.11,1.654111,0.00027752
1.12,1.653972,0.00027642
1.13,1.653834,0.00027534
1.14,1.653555,0.00027326
1.15,1.653415,0.00027226
1.16,1.653133,0.00027034
1.17,1.652991,0.00026942
1.18,1.652849,0.00026852
1.19,1.652706,0.00026765
1.20,1.652418,0.00026600
1.21,1.652273,0.00026521
1.22,1.652128,0.00026445
1.23,1.651982,0.00026371
1.24,1.651687,0.00026233
1.25,1.651538,0.00026168
1.26,1.651389,0.00026106
1.27,1.651238,0.00026047
1.28,1.650935,0.00025937
1.29,1.650782,0.00025887
1.30,1.650628,0.00025840
1.31,1.650473,0.00025795
1.32,1.650316,0.00025754
1.33,1.650159,0.00025716
1.34,1.649842,0.00025648
1.35,1.649681,0.00025620
1.36,1.649519,0.00025594
1.37,1.649356,0.00025572
1.38,1.649192,0.00025552
1.39,1.649027,0.00025537
1.40,1.648860,0.00025524
1.41,1.648692,0.00025515
1.42,1.648523,0.00025510
1.43,1.648180,0.00025509
1.44,1.648006,0.00025514
1.45,1.647831,0.00025523
1.46,1.647655,0.00025535
1.47,1.647476,0.00025551
1.48,1.647297,0.00025571
1.49,1.647115,0.00025595
1.50,1.646932,0.00025622
1.51,1.646748,0.00025654
1.52,1.646562,0.00025689
1.53,1.646373,0.00025729
1.54,1.646184,0.00025772
