wl,k
0.40,1.40E-06
0.41,1.38E-06
0.42,1.38E-06
0.43,1.40E-06
0.44,1.40E-06
0.45,1.41E-06
0.46,1.42E-06
0.47,1.43E-06
0.48,1.43E-06
0.49,1.46E-06
0.50,1.46E-06
0.51,1.47E-06
0.52,1.48E-06
0.53,1.48E-06
0.54,1.49E-06
0.55,1.51E-06
0.56,1.50E-06
0.57,1.53E-06
0.58,1.55E-06
0.59,1.54E-06
0.60,1.57E-06
0.61,1.57E-06
0.62,1.57E-06
0.63,1.58E-06
0.64,1.58E-06
0.65,1.59E-06
0.66,1.58E-06
0.67,1.59E-06
0.68,1.60E-06
0.69,1.60E-06
0.70,1.61E-06
0.71,1.62E-06
0.72,1.63E-06
0.73,1.64E-06
0.74,1.69E-06
0.75,1.66E-06
0.76,1.65E-06
0.77,1.67E-06
0.78,1.67E-06
0.79,1.67E-06
0.80,1.69E-06
0.81,1.70E-06
0.82,1.72E-06
0.83,1.73E-06
0.84,1.62E-06
0.85,1.76E-06
0.86,1.70E-06
0.87,2.22E-06
0.88,2.34E-06
0.89,2.39E-06
0.90,2.32E-06
0.91,2.31E-06
0.92,2.79E-06
0.93,2.60E-06
0.94,2.58E-06
0.95,2.32E-06
0.96,2.78E-06
0.97,2.63E-06
0.98,2.45E-06
0.99,2.56E-06
1.00,2.88E-06
1.01,2.26E-06
1.02,2.61E-06
1.03,2.54E-06
1.04,2.44E-06
1.05,2.38E-06
1.06,2.47E-06
1.07,2.52E-06
1.08,2.57E-06
1.09,2.76E-06
1.10,2.70E-06
1.11,2.40E-06
1.12,2.66E-06
1.13,2.85E-06
1.14,3.42E-06
1.15,4.81E-06
1.16,4.84E-06
1.17,5.34E-06
1.18,1.10E-05
1.19,1.46E-05
1.20,4.75E-06
1.21,3.87E-06
1.22,3.70E-06
1.23,3.00E-06
1.24,2.89E-06
1.25,3.00E-06
1.26,3.04E-06
1.27,3.16E-06
1.28,3.19E-06
1.29,3.11E-06
1.30,3.14E-06
1.31,3.11E-06
1.32,3.12E-06
1.33,3.25E-06
1.34,3.54E-06
1.35,4.13E-06
1.36,5.43E-06
1.37,9.45E-06
1.38,9.79E-06
1.39,1.14E-05
1.40,1.42E-05
1.41,1.24E-05
1.42,7.87E-06
1.43,6.99E-06
1.44,6.05E-06
1.45,5.11E-06
1.46,5.12E-06
1.47,5.10E-06
1.48,3.03E-06
1.49,5.34E-06
1.50,5.84E-06
1.51,6.90E-06
1.52,7.80E-06
1.53,7.85E-06
1.54,7.98E-06
1.55,7.83E-06
1.56,7.28E-06
1.57,5.95E-06
1.58,5.23E-06
1.59,5.01E-06
1.60,5.04E-06
1.61,5.17E-06
1.62,5.53E-06
1.63,6.14E-06
1.64,7.67E-06
1.65,9.77E-06
1.66,1.02E-05
1.67,1.08E-05
1.68,1.81E-05
1.69,7.25E-05
1.70,5.97E-05
