wl,n
0.40,1.41491
0.41,1.41403
0.42,1.41300
0.43,1.41179
0.44,1.41113
0.45,1.41033
0.46,1.40943
0.47,1.40866
0.48,1.40802
0.49,1.40733
0.50,1.40675
0.51,1.40614
0.52,1.40557
0.53,1.40513
0.54,1.40430
0.55,1.40420
0.56,1.40375
0.57,1.40338
0.58,1.40292
0.59,1.40259
0.60,1.40202
0.61,1.40158
0.62,1.40139
0.63,1.40121
0.64,1.40059
0.65,1.40047
0.66,1.40022
0.67,1.40006
0.68,1.39984
0.69,1.39958
0.70,1.39907
0.71,1.39905
0.72,1.39871
0.73,1.39817
0.74,1.39814
0.75,1.39765
0.76,1.39750
0.77,1.39727
0.78,1.39660
0.79,1.39645
0.80,1.39601
0.81,1.39617
0.82,1.39684
0.83,1.39701
0.84,1.39629
0.85,1.39687
0.86,1.39671
0.87,1.39652
0.88,1.39624
0.89,1.39629
0.90,1.39616
0.91,1.39610
0.92,1.39583
0.93,1.39584
0.94,1.39554
0.95,1.39546
0.96,1.39552
0.97,1.39537
0.98,1.39513
0.99,1.39506
1.00,1.39525
1.01,1.39523
1.02,1.39544
1.03,1.39121
1.04,1.39127
1.05,1.39181
1.06,1.39102
1.07,1.39193
1.08,1.39217
1.09,1.39220
1.10,1.39140
1.11,1.39202
1.12,1.39164
1.13,1.39084
1.14,1.39105
1.15,1.39087
1.16,1.39135
1.17,1.39134
1.18,1.39199
1.19,1.39145
1.20,1.39106
1.21,1.38948
1.22,1.39053
1.23,1.38988
1.24,1.38929
1.25,1.38975
1.26,1.38999
1.27,1.39049
1.28,1.39009
1.29,1.38910
1.30,1.38878
1.31,1.38850
1.32,1.38844
1.33,1.38895
1.34,1.38870
1.35,1.38897
1.36,1.38914
1.37,1.39000
1.38,1.38972
1.39,1.38923
1.40,1.38938
1.41,1.38836
1.42,1.38932
1.43,1.38933
1.44,1.38929
1.45,1.38840
1.46,1.38840
1.47,1.38895
1.48,1.38968
1.49,1.38914
1.50,1.38886
1.51,1.38844
1.52,1.38850
1.53,1.38804
1.54,1.38863
1.55,1.38922
1.56,1.38841
1.57,1.38815
1.58,1.38787
1.59,1.38755
1.60,1.38748
1.61,1.38731
1.62,1.38811
1.63,1.38725
1.64,1.38609
1.65,1.38759
1.66,1.38751
1.67,1.38797
1.68,1.38773
1.69,1.38719
1.70,1.38694
1.71,1.38755
1.72,1.38689
1.73,1.38756
1.74,1.38736
1.75,1.38736
1.76,1.38611
1.77,1.38703
1.78,1.38651
1.79,1.38645
1.80,1.38644
1.81,1.38680
1.82,1.38704
1.83,1.38639
1.84,1.38730
1.85,1.38712
1.86,1.38634
1.87,1.38571
1.88,1.38651
1.89,1.38631
1.90,1.38600
1.91,1.38610
1.92,1.38585
1.93,1.38623
1.94,1.38625
1.95,1.38571
1.96,1.38546
1.97,1.38623
1.98,1.38586
1.99,1.38653
2.00,1.38648
2.0097,1.39924
2.0190,1.39793
2.0285,1.39715
2.0381,1.39551
2.0478,1.39481
2.0575,1.39529
2.0673,1.39562
2.0773,1.39677
2.0873,1.39707
2.0975,1.39523
2.1077,1.39490
2.1180,1.39475
2.1285,1.39453
2.1390,1.39614
2.1496,1.39796
2.1568,1.39915
2.1676,1.39923
2.1785,1.39721
2.1896,1.39679
2.1970,1.39814
2.2082,1.40006
2.2196,1.40093
2.2272,1.40083
2.2387,1.39913
2.2465,1.39783
2.2582,1.39753
2.2661,1.39782
2.2781,1.39884
2.2861,1.39983
2.2983,1.39921
2.3065,1.39840
2.3188,1.39812
2.3272,1.39817
2.3398,1.39834
2.3482,1.39873
2.3568,1.39875
2.3697,1.39769
2.3784,1.39710
2.3872,1.39638
2.3960,1.39638
2.4093,1.39737
2.4183,1.39788
2.4274,1.39844
2.4365,1.39870
2.4457,1.39872
2.4596,1.39708
2.4690,1.39680
2.4784,1.39698
2.4880,1.39703
2.4975,1.39646
2.5072,1.39605
2.5169,1.39625
2.5268,1.39632
2.5366,1.39528
2.5466,1.39446
2.5567,1.39468
2.5668,1.39547
2.5770,1.39589
2.5873,1.39548
2.5976,1.39486
2.6081,1.39458
2.6186,1.39407
2.6293,1.39401
2.6400,1.39501
2.6454,1.39538
2.6562,1.39534
2.6671,1.39507
2.6782,1.39542
2.6893,1.39518
2.6949,1.39492
2.7061,1.39514
2.7175,1.39539
2.7289,1.39509
2.7347,1.39508
2.7462,1.39535
2.7579,1.39543
2.7697,1.39596
2.7756,1.39632
2.7876,1.39618
2.7996,1.39533
2.8057,1.39520
2.8179,1.39570
2.8240,1.39604
2.8364,1.39633
2.8489,1.39575
2.8551,1.39494
2.8678,1.39319
2.8741,1.39313
2.8869,1.39458
2.8998,1.39513
2.9063,1.39478
2.9194,1.39497
2.9260,1.39484
2.9393,1.39403
2.9460,1.39363
2.9594,1.39380
2.9662,1.39377
2.9798,1.39379
2.9867,1.39366
2.9936,1.39342
3.0075,1.39390
3.0145,1.39431
3.0286,1.39431
3.0357,1.39427
3.0499,1.39371
3.0571,1.39288
3.0644,1.39204
3.0789,1.39114
3.0863,1.39119
3.0936,1.39144
3.1085,1.39225
3.1159,1.39210
3.1234,1.39168
3.1386,1.39114
3.1462,1.39112
3.1538,1.39088
3.1693,1.39129
3.1770,1.39169
3.1848,1.39173
3.1927,1.39124
3.2085,1.39036
3.2164,1.38993
3.2244,1.38921
3.2325,1.38876
3.2487,1.38817
3.2569,1.38737
3.2651,1.38650
3.2733,1.38627
3.2899,1.38658
3.2983,1.38591
3.3067,1.38448
3.3152,1.38272
3.3237,1.38100
3.3322,1.37863
3.3494,1.37097
3.3581,1.36967
3.3668,1.37687
3.3756,1.39316
3.3844,1.40866
3.3933,1.41427
3.4022,1.41184
3.4111,1.40699
3.4292,1.40079
3.4383,1.40068
3.4474,1.40129
3.4566,1.40155
3.4658,1.40126
3.4751,1.40054
3.4845,1.39949
3.4939,1.39857
3.5033,1.39804
3.5128,1.39751
3.5224,1.39708
3.5320,1.39706
3.5416,1.39677
3.5513,1.39639
3.5611,1.39644
3.5709,1.39645
3.5807,1.39613
3.5907,1.39573
3.6006,1.39526
3.6107,1.39488
3.6207,1.39425
3.6309,1.39387
3.6411,1.39371
3.6513,1.39336
3.6617,1.39299
3.6720,1.39275
3.6825,1.39279
3.6930,1.39285
3.7035,1.39292
3.7141,1.39338
3.7248,1.39353
3.7355,1.39284
3.7463,1.39221
3.7572,1.39204
3.7681,1.39178
3.7791,1.39137
3.7901,1.39117
3.8013,1.39096
3.8124,1.39052
3.8237,1.39012
3.8350,1.39015
3.8464,1.39046
3.8578,1.39035
3.8693,1.38984
3.8809,1.38949
3.8926,1.38922
3.9043,1.38909
3.9161,1.38911
3.9280,1.38899
3.9399,1.38885
3.9519,1.38895
3.9640,1.38901
3.9762,1.38868
3.9884,1.38831
4.0007,1.38835
4.0131,1.38836
4.0255,1.38825
4.0381,1.38827
4.0507,1.38831
4.0634,1.38821
4.0762,1.38796
4.0890,1.38747
4.1020,1.38699
4.1150,1.38686
4.1281,1.38674
4.1413,1.38644
4.1546,1.38645
4.1679,1.38652
4.1814,1.38611
4.1949,1.38578
4.2085,1.38612
4.2222,1.38707
4.2360,1.38743
4.2499,1.38623
4.2639,1.38489
4.2780,1.38445
4.2921,1.38487
4.3064,1.38482
4.3208,1.38393
4.3352,1.38330
4.3498,1.38299
4.3644,1.38257
4.3791,1.38213
4.3940,1.38189
4.4089,1.38216
4.4240,1.38250
4.4391,1.38217
4.4544,1.38162
4.4697,1.38145
4.4852,1.38125
4.5008,1.38079
4.5165,1.38026
4.5323,1.37972
4.5482,1.37925
4.5642,1.37880
4.5803,1.37837
4.5965,1.37807
4.6129,1.37826
4.6294,1.37878
4.6460,1.37978
4.6627,1.38045
4.6795,1.38033
4.6965,1.37971
4.7136,1.37893
4.7308,1.37851
4.7481,1.37861
4.7655,1.37872
4.7831,1.37836
4.8008,1.37783
4.8187,1.37745
4.8367,1.37699
4.8548,1.37667
4.8730,1.37645
4.8914,1.37643
4.9100,1.37627
4.9286,1.37551
4.9474,1.37478
4.9664,1.37452
4.9855,1.37413
5.0047,1.37342
5.0241,1.37301
5.0437,1.37286
5.0634,1.37230
5.0832,1.37140
5.1033,1.37101
5.1234,1.37112
5.1438,1.37151
5.1643,1.37161
5.1849,1.37116
5.2057,1.37061
5.2267,1.37010
5.2479,1.36974
5.2692,1.36945
5.2907,1.36930
5.3124,1.36857
5.3343,1.36819
5.3563,1.36785
5.3785,1.36698
5.4009,1.36623
5.4235,1.36576
5.4463,1.36563
5.4693,1.36493
5.4925,1.36400
5.5159,1.36376
5.5394,1.36366
5.5632,1.36332
5.5872,1.36268
5.6114,1.36188
5.6358,1.36124
5.6604,1.36063
5.6852,1.36017
5.7103,1.35952
5.7355,1.35851
5.7610,1.35788
5.7867,1.35756
5.8127,1.35700
5.8389,1.35636
5.8653,1.35602
5.8919,1.35546
5.9188,1.35444
5.9460,1.35327
5.9734,1.35208
6.0011,1.35141
6.0290,1.35101
6.0571,1.34985
6.0856,1.34856
6.1143,1.34770
6.1433,1.34668
6.1725,1.34572
6.2020,1.34448
6.2319,1.34381
6.2620,1.34327
6.2924,1.34257
6.3231,1.34188
6.3541,1.34096
6.3854,1.33948
6.4170,1.33844
6.4489,1.33698
6.4811,1.33518
6.5137,1.33420
6.5466,1.33287
6.5798,1.33102
6.6134,1.32961
6.6473,1.32711
6.6816,1.32364
6.7162,1.32168
6.7512,1.32053
6.7865,1.31839
6.8223,1.31494
6.8583,1.31223
6.8948,1.31191
6.9317,1.31155
6.9690,1.30835
7.0066,1.30306
7.0447,1.30038
7.0832,1.30332
7.1221,1.30790
7.1615,1.30939
7.2013,1.30643
7.2415,1.30087
7.2822,1.29479
7.3233,1.28942
7.3649,1.28363
7.4070,1.27697
7.4496,1.27066
7.4926,1.26412
7.5362,1.25650
7.5803,1.24758
7.6249,1.23651
7.6700,1.22417
7.7156,1.20747
7.7618,1.18420
7.8086,1.13872
7.8559,1.06920
7.9038,1.13086
7.9523,1.31619
8.0014,1.42903
8.0511,1.38024
8.1014,1.31925
8.1524,1.28177
8.2040,1.25491
8.2562,1.23390
8.3091,1.21820
8.3628,1.20668
8.4171,1.19571
8.4721,1.18132
8.5278,1.16258
8.5843,1.14039
8.6415,1.11398
8.6995,1.07840
8.7583,1.03705
8.8179,0.99077
8.8783,0.94243
8.9395,0.90850
9.0016,0.91694
9.0645,0.99296
9.1284,1.12582
9.1931,1.27070
9.2588,1.38675
9.3254,1.46460
9.3930,1.51165
9.4615,1.53749
9.5311,1.55207
9.6017,1.56879
9.6733,1.60177
9.7461,1.66994
9.8199,1.77468
9.8949,1.85128
9.9710,1.83876
10.048,1.77344
10.127,1.70999
10.207,1.66025
10.288,1.61895
10.370,1.58348
10.453,1.55340
10.538,1.52658
10.625,1.50134
10.713,1.47663
10.802,1.45099
10.893,1.42981
10.985,1.41565
11.079,1.39727
11.174,1.36630
11.272,1.32958
11.370,1.30103
11.471,1.30308
11.573,1.32585
11.678,1.33199
11.784,1.33215
11.892,1.33290
12.002,1.28572
12.114,1.23134
12.229,1.25325
12.345,1.37130
12.464,1.60462
12.585,1.86355
12.708,1.96263
12.834,1.89414
12.962,1.79653
13.093,1.73460
13.227,1.71230
13.363,1.69554
13.502,1.66481
13.645,1.63533
13.790,1.61279
13.938,1.59113
14.089,1.57651
14.244,1.57656
14.403,1.58157
14.564,1.58549
14.730,1.58457
14.899,1.57902
15.072,1.57898
15.250,1.57744
15.431,1.56572
15.617,1.55054
15.808,1.53957
16.003,1.53249
16.203,1.52491
16.408,1.51758
16.618,1.51612
16.834,1.51225
17.056,1.50642
17.283,1.50336
17.517,1.50038
17.757,1.49764
18.003,1.50001
18.257,1.50080
18.518,1.49350
18.786,1.49025
19.062,1.49254
19.347,1.49056
19.640,1.48533
19.942,1.48051
