wl,k
0.40,0.0000014
0.41,0.00000138
0.42,0.00000138
0.43,0.0000014
0.44,0.0000014
0.45,0.00000141
0.46,0.00000142
0.47,0.00000143
0.48,0.00000143
0.49,0.00000146
0.50,0.00000146
0.51,0.00000147
0.52,0.00000148
0.53,0.00000148
0.54,0.00000149
0.55,0.00000151
0.56,0.0000015
0.57,0.00000153
0.58,0.00000155
0.59,0.00000154
0.60,0.00000157
0.61,0.00000157
0.62,0.00000157
0.63,0.00000158
0.64,0.00000158
0.65,0.00000159
0.66,0.00000158
0.67,0.00000159
0.68,0.0000016
0.69,0.0000016
0.70,0.00000161
0.71,0.00000162
0.72,0.00000163
0.73,0.00000164
0.74,0.00000169
0.75,0.00000166
0.76,0.00000165
0.77,0.00000167
0.78,0.00000167
0.79,0.00000167
0.80,0.00000169
0.81,0.0000017
0.82,0.00000172
0.83,0.00000173
0.84,0.00000162
0.85,0.00000176
0.86,0.0000017
0.87,0.00000222
0.88,0.00000234
0.89,0.00000239
0.90,0.00000232
0.91,0.00000231
0.92,0.00000279
0.93,0.0000026
0.94,0.00000258
0.95,0.00000232
0.96,0.00000278
0.97,0.00000263
0.98,0.00000245
0.99,0.00000256
1.00,0.00000288
1.01,0.00000226
1.02,0.00000261
1.03,0.00000254
1.04,0.00000244
1.05,0.00000238
1.06,0.00000247
1.07,0.00000252
1.08,0.00000257
1.09,0.00000276
1.10,0.0000027
1.11,0.0000024
1.12,0.00000266
1.13,0.00000285
1.14,0.00000342
1.15,0.00000481
1.16,0.00000484
1.17,0.00000534
1.18,0.000011
1.19,0.0000146
1.20,0.00000475
1.21,0.00000387
1.22,0.0000037
1.23,0.000003
1.24,0.00000289
1.25,0.000003
1.26,0.00000304
1.27,0.00000316
1.28,0.00000319
1.29,0.00000311
1.30,0.00000314
1.31,0.00000311
1.32,0.00000312
1.33,0.00000325
1.34,0.00000354
1.35,0.00000413
1.36,0.00000543
1.37,0.00000945
1.38,0.00000979
1.39,0.0000114
1.40,0.0000142
1.41,0.0000124
1.42,0.00000787
1.43,0.00000699
1.44,0.00000605
1.45,0.00000511
1.46,0.00000512
1.47,0.0000051
1.48,0.00000303
1.49,0.00000534
1.50,0.00000584
1.51,0.0000069
1.52,0.0000078
1.53,0.00000785
1.54,0.00000798
1.55,0.00000783
1.56,0.00000728
1.57,0.00000595
1.58,0.00000523
1.59,0.00000501
1.60,0.00000504
1.61,0.00000517
1.62,0.00000553
1.63,0.00000614
1.64,0.00000767
1.65,0.00000977
1.66,0.0000102
1.67,0.0000108
1.68,0.0000181
1.69,0.0000725
1.70,0.0000597
1.71,0.0000322
1.72,0.0000216
1.73,0.0000396
1.74,0.0000703
1.75,0.0000741
1.76,0.0000346
1.77,0.0000228
1.78,0.0000278
1.79,0.0000236
1.80,0.0000126
1.81,0.00000926
1.82,0.00000887
1.83,0.0000139
1.84,0.0000197
1.85,0.0000229
1.86,0.0000135
1.87,0.0000082
1.88,0.00000743
1.89,0.00000787
1.90,0.00000845
1.91,0.00000883
1.92,0.00000957
1.93,0.0000101
1.94,0.0000108
1.95,0.0000111
1.96,0.0000125
1.97,0.0000145
1.98,0.0000142
1.99,0.000014
2.00,0.0000131
2.01,0.000012
2.02,0.0000123
2.03,0.0000103
2.04,0.0000101
2.05,0.000000951
2.06,0.00000881
2.07,0.00000839
2.08,0.0000083
2.09,0.00000851
2.10,0.00000899
2.11,0.00000964
2.12,0.0000105
2.13,0.000012
2.14,0.0000142
2.15,0.0000173
2.16,0.0000196
2.17,0.0000238
2.18,0.0000298
2.19,0.0000383
2.20,0.0000446
2.21,0.0000546
2.22,0.0000648
2.23,0.0000702
2.24,0.0000763
2.25,0.0000803
2.26,0.0000848
2.27,0.0000859
2.28,0.0000861
2.29,0.0000863
2.30,0.0000877
2.31,0.000089
2.32,0.0000891
2.33,0.0000867
2.34,0.0000838
2.35,0.0000849
2.36,0.0000879
2.37,0.0000929
2.38,0.0000952
2.39,0.0000955
2.40,0.0000951
2.41,0.000094
2.42,0.0000905
2.43,0.0000879
2.44,0.00009
2.45,0.0000957
2.46,0.0000998
2.47,0.0000993
2.48,0.0000986
2.49,0.000098
2.50,0.0000974
2.51,0.0000951
2.52,0.0000913
2.53,0.0000886
2.54,0.0000874
2.55,0.0000869
2.56,0.000088
2.57,0.000092
2.58,0.000097
2.59,0.0001
2.60,0.000103
2.61,0.000106
2.62,0.000108
2.63,0.000108
2.64,0.000108
2.65,0.000108
2.66,0.000109
2.67,0.000109
2.68,0.000108
2.69,0.000109
2.69,0.00011
2.71,0.000111
2.72,0.000112
2.73,0.000114
2.73,0.000114
2.75,0.000114
2.76,0.000113
2.77,0.000115
2.78,0.000116
2.79,0.000116
2.80,0.000117
2.81,0.000118
2.82,0.000119
2.82,0.000119
2.84,0.00012
2.85,0.000121
2.86,0.000121
2.87,0.000122
2.87,0.000121
2.89,0.000121
2.90,0.000121
2.91,0.000121
2.92,0.000122
2.93,0.000122
2.94,0.000122
2.95,0.000122
2.96,0.000124
2.97,0.000124
2.98,0.000123
2.99,0.000124
2.99,0.000126
3.01,0.000126
3.01,0.000125
3.03,0.000125
3.04,0.000127
3.05,0.00013
3.06,0.000131
3.06,0.000132
3.08,0.000133
3.09,0.000133
3.09,0.000133
3.11,0.000135
3.12,0.000137
3.12,0.000139
3.14,0.00014
3.15,0.00014
3.15,0.00014
3.17,0.000139
3.18,0.000137
3.18,0.000137
3.19,0.000138
3.21,0.000142
3.22,0.000145
3.22,0.000146
3.23,0.000145
3.25,0.000146
3.26,0.000147
3.27,0.000149
3.27,0.000151
3.29,0.000151
3.30,0.000148
3.31,0.000147
3.32,0.000148
3.32,0.00015
3.33,0.001
3.35,0.00807
3.36,0.0186
3.37,0.0319
3.38,0.0383
3.38,0.0313
3.39,0.0183
3.40,0.00836
3.41,0.00355
3.43,0.00333
3.44,0.00463
3.45,0.00456
3.46,0.003
3.47,0.00145
3.48,0.00105
3.48,0.000163
3.49,0.000163
3.50,0.000164
3.51,0.000165
3.52,0.000167
3.53,0.000166
3.54,0.000165
3.55,0.000167
3.56,0.00017
3.57,0.000169
3.58,0.00017
3.59,0.000171
3.60,0.00017
3.61,0.000169
3.62,0.00017
3.63,0.000171
3.64,0.000173
3.65,0.000176
3.66,0.000175
3.67,0.000174
3.68,0.000175
3.69,0.000178
3.70,0.00018
3.71,0.000181
3.72,0.000182
3.74,0.000181
3.75,0.000178
3.76,0.000179
3.77,0.000182
3.78,0.00017
3.79,0.000143
3.80,0.000119
3.81,0.000102
3.82,0.0000886
3.83,0.0000794
3.85,0.0000728
3.86,0.0000683
3.87,0.0000653
3.88,0.0000636
3.89,0.000063
3.90,0.0000636
3.92,0.0000656
3.93,0.0000692
3.94,0.0000742
3.95,0.0000817
3.96,0.0000942
3.98,0.000115
3.99,0.000146
4.00,0.000178
4.01,0.000165
4.03,0.000129
4.04,0.000102
4.05,0.0000845
4.06,0.000074
4.08,0.0000674
4.09,0.0000632
4.10,0.0000605
4.12,0.000059
4.13,0.0000587
4.14,0.0000593
4.15,0.0000607
4.17,0.0000628
4.18,0.0000653
4.19,0.0000677
4.21,0.0000699
4.22,0.0000722
4.24,0.0000761
4.25,0.0000806
4.26,0.0000841
4.28,0.0000887
4.29,0.000095
4.31,0.000103
4.32,0.000111
4.34,0.00012
4.35,0.000131
4.36,0.000145
4.38,0.000159
4.39,0.000173
4.41,0.000187
4.42,0.000198
4.44,0.000209
4.45,0.000219
4.47,0.000226
4.49,0.000226
4.50,0.000227
4.52,0.000224
4.53,0.000225
4.55,0.000233
4.56,0.000237
4.58,0.000236
4.60,0.000235
4.61,0.000233
4.63,0.000232
4.65,0.000234
4.66,0.000236
4.68,0.000234
4.70,0.000235
4.71,0.00024
4.73,0.000238
4.75,0.000239
4.77,0.000242
4.78,0.000245
4.80,0.000249
4.82,0.000249
4.84,0.000245
4.85,0.000245
4.87,0.000249
4.89,0.000247
4.91,0.00025
4.93,0.000253
4.95,0.000258
4.97,0.000261
4.99,0.000263
5.00,0.000258
5.02,0.000255
5.04,0.000264
5.06,0.00026
